epoch,g_loss,d_loss,time_s
1,101.6471,-108.1349,5.6
2,135.9176,-206.8630,4.9
3,151.9393,-179.1545,4.9
4,211.8540,-159.2957,5.0
5,251.7084,-184.4274,5.0
6,283.3331,-221.1777,5.0
7,264.3426,-215.7927,4.9
8,304.0916,-196.0370,5.0
9,312.6470,-222.6573,4.9
10,308.3274,-171.2719,4.9
11,320.6147,-176.2484,4.9
12,337.0100,-171.2120,4.9
13,324.7284,-154.6959,4.9
14,299.4305,-169.6654,4.9
15,311.1108,-163.7206,4.9
16,313.6540,-158.8021,4.9
17,327.9220,-144.1530,4.9
18,278.3090,-149.6290,4.9
19,296.7640,-161.6686,4.9
20,297.0969,-135.2824,4.9
21,376.2680,-158.4363,4.9
22,272.5667,-132.5051,4.9
23,297.6949,-135.3919,4.9
24,295.0807,-145.7066,4.9
25,272.3356,-150.9783,4.9
26,276.3877,-144.0160,4.9
27,298.9044,-128.4368,4.9
28,277.8442,-130.7345,4.9
29,262.9603,-126.8459,4.9
30,190.1340,-125.4099,4.9
31,290.5080,-139.1377,4.9
32,242.0377,-113.4069,5.0
33,280.8759,-130.7085,5.0
34,264.2574,-110.0849,4.9
35,244.9464,-125.8581,5.0
36,252.3056,-169.1693,4.9
37,198.1750,-125.0192,5.0
38,214.2006,-121.6484,4.9
39,220.9045,-116.8487,4.9
40,205.1188,-120.1421,4.9
41,244.5316,-100.1080,4.9
42,218.0941,-116.4227,4.9
43,258.6058,-116.3083,4.9
44,248.8177,-115.8933,4.9
45,252.2836,-115.7072,4.9
46,267.5080,-116.6679,4.9
47,258.6619,-101.4011,5.0
48,218.3078,-112.8502,4.9
49,212.4851,-105.1810,4.9
50,274.6173,-108.2549,4.9
51,227.3550,-120.7547,4.9
52,270.3504,-122.7940,4.9
53,210.8676,-90.3551,4.9
54,190.9158,-98.0585,4.9
55,231.5244,-116.7089,4.9
56,227.5934,-103.6327,5.0
57,280.1921,-124.0582,4.9
58,249.0300,-127.0977,5.0
59,192.2796,-78.7120,5.0
60,245.9225,-109.1272,4.9
61,233.2265,-106.1232,4.9
62,207.0058,-112.9677,4.9
63,173.0960,-87.7248,4.9
64,235.3437,-98.6763,5.0
65,165.0697,-124.9857,5.0
66,204.5795,-112.8774,4.9
67,175.7900,-113.1417,5.0
68,151.2247,-103.8085,4.9
69,156.7200,-97.7920,4.9
70,219.3388,-111.2265,5.0
71,281.4355,-108.5613,5.0
72,90.2751,-110.4763,4.9
73,228.9079,-93.0846,4.9
74,179.6435,-88.7922,5.0
75,227.0012,-103.3166,5.0
76,187.5865,-91.8848,4.9
77,216.1505,-107.4331,4.9
78,206.3577,-86.1680,4.9
79,172.2570,-89.6966,5.0
80,180.3061,-89.9373,5.0
81,226.7259,-145.2173,4.9
82,225.8021,-87.6202,5.0
83,215.0830,-108.8774,5.0
84,197.4806,-90.9893,5.0
85,231.1280,-87.0711,4.9
86,186.3091,-114.2179,4.9
87,256.4108,-105.8547,4.9
88,268.4964,-79.9253,5.0
89,240.8884,-103.6518,4.9
90,172.0266,-105.4461,4.9
91,145.5599,-104.2414,5.0
92,254.5559,-87.4795,4.9
93,248.7484,-79.8796,5.0
94,264.6618,-81.8550,5.0
95,235.1068,-92.4542,5.0
96,178.6631,-73.8318,5.0
97,136.9368,-85.6331,4.9
98,158.0831,-111.9778,4.9
99,201.8685,-80.1513,4.9
100,176.1611,-86.5532,5.0
101,222.9913,-87.3598,5.0
102,202.1788,-88.7231,5.0
103,188.0705,-75.8778,5.0
104,139.7420,-77.8453,4.9
105,160.3917,-102.3800,5.0
106,85.5705,-79.3798,4.9
107,188.0446,-102.3835,4.9
108,225.7381,-93.9393,4.9
109,147.3855,-78.5121,4.9
110,164.3844,-76.8172,4.9
111,192.2356,-78.5482,4.9
112,136.4633,-86.4705,4.9
113,177.9556,-75.9691,4.9
114,257.3633,-98.2403,4.9
115,153.8478,-81.6717,4.9
116,196.3522,-75.7683,4.9
117,161.9271,-95.8550,4.9
118,191.6940,-84.1620,5.0
119,174.6126,-95.9765,4.9
120,115.4304,-74.4644,4.9
121,262.7047,-114.2401,5.0
122,162.1949,-72.1383,5.0
123,212.0020,-86.4212,4.9
124,163.0221,-77.1521,4.9
125,149.4589,-75.3607,5.0
126,169.0774,-73.6266,5.0
127,194.1525,-78.1833,5.0
128,173.4753,-93.0171,5.0
129,156.2664,-82.5193,5.0
130,141.7020,-80.1715,5.0
131,141.4492,-73.1008,5.0
132,200.7765,-104.5187,5.0
133,140.7390,-87.0152,4.9
134,106.4629,-71.0045,5.0
135,135.9828,-80.9879,4.9
136,79.8195,-52.5930,4.9
137,189.4805,-83.5009,5.0
138,208.5395,-73.4812,4.9
139,179.8048,-75.1966,5.0
140,184.3403,-90.2790,4.9
141,193.0805,-72.2401,4.9
142,95.5297,-71.3359,4.9
143,147.8633,-84.0923,5.0
144,169.9914,-74.9201,5.0
145,134.1805,-76.1667,5.0
146,203.3417,-83.0572,5.0
147,196.3957,-77.5284,5.0
148,136.1726,-90.8631,5.0
149,123.0812,-82.6921,4.9
150,103.5621,-78.0077,4.9
151,124.2238,-71.4663,4.9
152,177.4468,-79.2090,4.9
153,54.9729,-61.6583,4.9
154,125.1428,-78.8140,4.9
155,102.3365,-73.4771,5.0
156,136.2824,-86.0698,4.9
157,81.9724,-99.0116,5.0
158,-1.4318,-87.7894,4.9
159,158.1155,-63.6122,4.9
160,106.6421,-72.6351,5.0
161,174.6603,-99.4930,5.0
162,239.4366,-106.8974,5.0
163,95.8009,-75.6536,4.9
164,116.4564,-59.4417,4.9
165,127.9268,-82.6032,4.9
166,95.8543,-51.7736,5.0
167,89.3707,-80.6574,4.9
168,107.7851,-88.4319,5.0
169,87.6101,-82.9903,5.0
170,98.3735,-72.0721,4.9
171,138.9134,-82.8403,5.0
172,156.4848,-83.8885,5.0
173,102.1811,-80.2520,4.9
174,79.2825,-64.0065,5.0
175,75.7039,-68.7281,5.0
176,38.0149,-105.2314,4.9
177,73.6370,-60.6030,5.0
178,90.7717,-57.2164,4.9
179,124.5227,-71.9047,4.9
180,58.2592,-85.1724,4.9
181,-20.1150,-67.3026,4.9
182,50.2426,-91.6055,4.9
183,135.4073,-77.0937,5.0
