epoch,train_loss,val_acc,val_f1
1,0.7858,0.6633,0.6573
2,0.3373,0.7551,0.7647
3,0.2599,0.7755,0.7524
4,0.1875,0.7857,0.7592
5,0.1697,0.7755,0.7550
6,0.1172,0.7959,0.7414
7,0.1161,0.8163,0.7670
8,0.0752,0.8469,0.8102
9,0.0830,0.8061,0.7928
10,0.1025,0.8367,0.7705
11,0.0493,0.8469,0.7703
12,0.0726,0.8469,0.7803
13,0.0489,0.8469,0.7878
14,0.0706,0.8265,0.7654
15,0.0641,0.8367,0.7683
16,0.0536,0.8367,0.7840
17,0.0471,0.8367,0.7880
18,0.0356,0.8469,0.8102
19,0.0299,0.8367,0.7840
20,0.0369,0.8163,0.7389
21,0.0302,0.8265,0.7462
22,0.1653,0.8469,0.7916
23,0.0510,0.8469,0.7612
24,0.0558,0.8673,0.7896
25,0.0241,0.8061,0.7413
26,0.0327,0.8061,0.7413
27,0.0368,0.8571,0.8039
28,0.0262,0.8571,0.8039
29,0.0266,0.8571,0.8039
30,0.0342,0.8571,0.8062
31,0.0184,0.8776,0.8222
32,0.0162,0.8776,0.8255
33,0.0241,0.8673,0.7983
34,0.0138,0.8571,0.7992
35,0.0159,0.8776,0.8151
36,0.0142,0.8673,0.7916
37,0.0198,0.8673,0.8029
38,0.0191,0.8673,0.8029
39,0.0851,0.8673,0.8029
40,0.0084,0.8673,0.8029
41,0.0145,0.8673,0.8029
42,0.0090,0.8571,0.7903
43,0.0094,0.8878,0.8269
44,0.0205,0.8878,0.8269
45,0.0150,0.8878,0.8269
46,0.0187,0.8878,0.8269
47,0.0141,0.8878,0.8269
48,0.0197,0.8673,0.8108
49,0.0147,0.8776,0.8151
50,0.0549,0.8673,0.8172
