epoch,train_loss,val_acc,val_f1
1,0.2205,0.8265,0.7638
2,0.0807,0.8673,0.8472
3,0.0710,0.8673,0.8580
4,0.0584,0.9286,0.9180
5,0.0549,0.8980,0.8986
6,0.0497,0.9184,0.8767
7,0.0478,0.9082,0.8847
8,0.0374,0.9388,0.9129
9,0.0347,0.9388,0.9289
10,0.0257,0.9388,0.9240
11,0.0408,0.9082,0.8942
12,0.0164,0.9592,0.9462
13,0.0241,0.9592,0.9343
14,0.0156,0.9490,0.9368
15,0.0177,0.9694,0.9700
16,0.0324,0.9388,0.9277
17,0.0182,0.9592,0.9606
18,0.0065,0.9592,0.9606
19,0.0139,0.9388,0.9277
20,0.0100,0.9082,0.9038
21,0.0100,0.9694,0.9568
22,0.0107,0.9694,0.9568
23,0.0033,0.9592,0.9326
24,0.0065,0.9796,0.9797
25,0.0020,0.9796,0.9797
26,0.0028,0.9694,0.9568
27,0.0012,0.9694,0.9568
28,0.0020,0.9592,0.9462
29,0.0079,0.9694,0.9568
30,0.0022,0.9694,0.9568
31,0.0074,0.9694,0.9568
32,0.0016,0.9694,0.9568
33,0.0021,0.9694,0.9568
34,0.0012,0.9694,0.9568
35,0.0007,0.9694,0.9568
36,0.0016,0.9694,0.9568
37,0.0011,0.9694,0.9568
38,0.0018,0.9694,0.9568
39,0.0021,0.9694,0.9568
40,0.0021,0.9694,0.9568
41,0.0008,0.9694,0.9568
42,0.0003,0.9694,0.9568
43,0.0010,0.9694,0.9568
44,0.0010,0.9694,0.9568
45,0.0015,0.9694,0.9568
46,0.0004,0.9694,0.9568
47,0.0007,0.9694,0.9568
48,0.0003,0.9694,0.9568
49,0.0010,0.9694,0.9568
50,0.0012,0.9694,0.9568
