epoch,train_loss,val_loss,recon_loss,kl_loss,beta,lr,time_s
1,10462.12223,0.18995,0.34592,313853298.87822,0.000033,0.001000,2.4
2,0.33069,0.16893,0.30831,335.60670,0.000067,0.001000,2.2
3,0.27751,0.16585,0.27406,34.51766,0.000100,0.001000,2.3
4,0.19865,0.16788,0.18845,76.50903,0.000133,0.001000,2.2
5,0.19653,6.78428,0.17737,114.91459,0.000167,0.001000,2.2
6,1.90104,0.13976,0.18108,8599.81796,0.000200,0.001000,2.1
7,0.15393,0.14007,0.13500,81.12250,0.000233,0.001000,2.1
8,0.12569,0.08568,0.11624,35.42891,0.000267,0.001000,2.3
9,0.16716,584.53476,0.11737,165.96883,0.000300,0.001000,2.2
10,80.75125,0.14382,0.17937,241715.63006,0.000333,0.001000,2.1
11,0.10426,0.14176,0.09296,30.81647,0.000367,0.001000,2.1
12,0.13089,0.12643,0.10302,69.68753,0.000400,0.001000,2.2
13,2.50293,5918187.00000,0.10756,5527.77672,0.000433,0.001000,2.3
14,2907.45850,0.16168,0.09861,6230056.64940,0.000467,0.001000,2.2
15,0.11021,0.15952,0.08222,55.97692,0.000500,0.001000,2.2
16,0.07628,0.15893,0.06364,23.69213,0.000533,0.001000,2.2
17,0.09082,0.16194,0.06151,51.73206,0.000567,0.000500,2.2
18,0.06555,0.15308,0.05203,22.54568,0.000600,0.000500,2.3
19,0.07086,0.13365,0.05817,20.04223,0.000633,0.000500,2.2
20,0.05932,0.09835,0.04825,16.61108,0.000667,0.000500,2.1
21,0.05369,0.06703,0.04379,14.13020,0.000700,0.000500,2.2
22,0.05558,0.04179,0.04696,11.75822,0.000733,0.000500,2.1
23,0.06156,0.03899,0.04969,15.48377,0.000767,0.000500,2.2
24,0.05507,0.04097,0.04404,13.79050,0.000800,0.000500,2.2
25,0.05304,0.04052,0.04242,12.74985,0.000833,0.000500,2.2
26,0.05586,0.04516,0.04430,13.33401,0.000867,0.000500,2.2
27,0.05140,0.03835,0.04114,11.40305,0.000900,0.000500,2.1
28,0.05112,0.04284,0.04062,11.25524,0.000933,0.000500,2.2
29,0.05308,0.04143,0.04275,10.67942,0.000967,0.000500,2.2
30,0.04875,0.04060,0.03807,10.68175,0.001000,0.000500,2.2
31,0.04695,0.03687,0.03704,9.90927,0.001000,0.000500,2.2
32,0.04597,0.03894,0.03639,9.58157,0.001000,0.000500,2.3
33,0.04793,0.03713,0.03828,9.65242,0.001000,0.000500,2.3
34,0.04642,0.03668,0.03749,8.93069,0.001000,0.000500,2.1
35,0.04784,0.03750,0.03878,9.06143,0.001000,0.000500,2.3
36,0.04777,0.03546,0.03886,8.91748,0.001000,0.000500,2.2
37,0.04980,0.03733,0.04048,9.32041,0.001000,0.000500,2.3
38,0.04355,0.03614,0.03523,8.32320,0.001000,0.000500,2.2
39,0.04733,0.03554,0.03828,9.05229,0.001000,0.000500,2.3
